Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100,Value101,Value102,Value103,Value104,Value105,Value106,Value107,Value108,Value109,Value110,Value111,Value112,Value113,Value114,Value115,Value116,Value117,Value118,Value119,Value120
94.07726885,86.77742765,93.23017259,91.48176132,78.25234529,88.02976261,82.4943382,88.78499854,98.24847827,95.21737436,83.92885521,80.86060717,82.70431331,80.28477472,110.6959211,78.66984919,120,91.05152454,75.32315441,103.0315458,76.27770992,105.7995879,120,89.98682237,95.0172349,88.45821192,109.3440841,107.9041506,105.1059495,91.42053021,119.3980609,120,92.71236803,77.73217084,94.19426535,75.08727902,117.7175486,97.01142594,112.3207875,97.10806975,106.0250469,108.9119251,107.1630051,90.3389551,77.80265523,92.9366836,117.3940326,105.7560833,95.83291294,86.97273387,95.47559576,97.63422679,114.8372326,105.6022944,100.7759362,94.06190397,114.6528876,109.2572499,96.76360401,120,87.89138366,92.26847408,92.92897109,99.98888638,103.9126911,81.64484547,120,120,120,77.13444633,92.07572131,104.6584974,86.78095995,83.51354483,120,84.67120245,120,77.73890669,91.89193084,85.87333709,109.4084111,87.68130888,85.61159318,118.6844308,102.6414071,90.22931727,85.26915682,75.97801816,77.56882186,120,110.2024979,95.13812949,102.1040253,95.64442025,104.7324101,93.46055571,120,95.32281645,105.3343827,107.4444149,117.3614583,76.04459113,120,114.1363584,94.96894019,75.8710553,92.74576405,85.49235103,120,117.5561283,111.2058638,120,102.1201908,97.47699586,113.6295473,95.48768111,80.19686101,109.1052664,93.7555157,76.95080819
112.472345,91.31641298,102.2939633,98.92279853,99.99708735,87.31513429,112.531754,102.2559213,94.10155964,118.5628766,116.1315456,109.1048791,116.7624447,98.69796907,106.3494227,79.93908579,71.92539572,86.33655704,85.5963557,86.84083411,117.4669195,80.51605555,82.45024279,88.79629671,75.27201864,75.79183911,70.91305174,105.5683878,107.8250411,88.13193017,71.1008321,74.53900589,88.01638369,98.31210429,81.65120966,108.9104389,98.72976528,72.2396227,99.09178088,101.1062383,120,83.02497966,104.6556882,83.92054841,97.96214871,115.9736373,89.1214842,90.1062847,90.29349338,97.2081646,92.46855439,106.6589744,106.9662039,102.4402877,79.64667534,118.3319924,81.69930378,74.53147272,74.70698512,112.959964,86.30793806,79.53938982,82.69464184,85.9133002,114.0525636,97.25643159,83.29553403,109.4884044,107.940245,96.20634812,91.20774085,106.811846,109.8379033,104.8303084,117.9503505,85.08359731,119.0729174,88.43056007,115.1425745,114.4033205,102.8258078,90.0858966,100.6680604,110.2854142,118.5314438,80.45837046,115.3536694,115.0873043,71.96970432,118.7239013,81.30373095,84.81439993,71.3340783,82.84426942,75.17821079,83.95335759,86.29934136,91.26963889,103.1061305,112.8678662,92.60932933,113.6403889,85.65582367,77.05703917,118.1930731,84.85364825,83.73069728,78.65160654,106.3174257,93.24587868,98.56022334,101.1331592,109.9051696,82.01857153,97.71965417,80.17449879,71.58004849,87.90081197,75.12697388,97.00283444
115.7012601,120,87.05180495,88.67089588,96.72838172,114.0307436,91.26420133,90.35315253,120,120,120,119.4362331,120,104.3314296,113.2832775,94.12754191,114.6678579,118.4984913,117.0115498,116.1579756,120,88.66267053,120,85.78131345,103.9593156,106.7976103,120,87.35704509,117.0888722,117.1209441,120,120,120,97.03564161,87.41526603,120,118.6071555,106.832203,118.4381151,99.52703638,114.9184512,102.4860611,88.32256336,120,118.0825478,114.3738639,120,111.8400103,97.46157611,104.4938279,93.05819711,109.2849686,100.5021374,101.419562,120,120,120,120,120,120,87.95946254,120,92.16842092,120,120,100.280969,120,92.97189266,113.8183686,115.2765435,120,117.4681447,108.9975164,110.906924,120,98.30176214,103.3633147,91.35248687,88.59244373,87.44256297,100.5132529,120,120,97.43864023,97.51626718,106.7877898,120,120,100.9989698,107.9081053,96.42521956,95.90199332,113.0367529,94.67082396,120,94.64741359,120,103.5679601,113.735445,120,109.6087844,120,91.06263785,108.164654,102.4239054,115.2189022,86.20870358,120,94.52720582,120,120,108.567235,104.032149,95.15412307,88.9440081,120,102.7682632,97.65277017,120,96.91032643
73.19930154,86.50204321,89.30891284,101.1070556,79.95895127,80.84795884,87.21593993,70,96.81356258,97.23523623,70,81.03122922,74.90720492,84.68807781,72.69339331,87.47479515,70,70,70,75.83807171,70,71.91294178,78.78389117,80.70690283,70,99.58343993,93.03903486,73.22226477,70,70,70,82.61026236,70,95.52587742,74.12589998,78.64916031,70,100.6394047,70,77.10286213,83.75486189,81.72007132,84.08400895,80.49468389,82.65619909,89.10880099,70,70,78.812759,77.75438926,100.5406274,76.00695421,70,70,70,85.83125492,70,70,70,70,88.67138707,99.53801586,84.7279644,87.1276182,79.13169607,99.06689277,77.60249663,100.950546,94.26703017,70,88.12310019,70,70,70,82.24082999,70,84.54941712,78.12495559,82.9053427,92.20431317,76.7856802,70,70.32450654,70,70,70,73.02738272,77.48304178,81.28608936,75.91417378,70,74.56012204,92.90139202,70,70,70,72.32128387,70,70,72.20883463,82.51395736,80.86542338,70,99.98243483,70,94.45454178,79.69983815,83.75400111,70,70,73.48334914,74.68597096,90.8565979,76.81180451,70,74.50012883,84.87134793,92.79646576,79.78843934,100.8254392
70,72.84735634,81.53861032,70,73.87152199,71.83174715,88.72977677,70,83.22731118,86.30074833,74.13894602,83.68608728,87.0073271,70,75.12197264,72.81476827,70,86.9734586,92.274962,92.68331049,83.22771273,71.88106945,72.63254367,76.85793046,70,75.24259065,70.68133305,75.29509866,81.84934332,72.47213991,83.03252904,86.26032611,73.04823506,78.47654616,70,70,70,81.23043586,86.42871139,70,70,76.60239474,76.0345188,71.39114946,70,70,90.41459269,70,70,94.99094982,70,70.28112955,70,70,88.87945325,88.38850281,70,83.71970237,70,70,78.20450546,80.1676132,83.53281983,70.89231078,70,76.13446554,93.96074925,88.6661864,70,70,75.57360601,95.22690847,70,77.95352528,84.92296461,88.9980435,82.60917305,75.34988641,92.5548573,70,70,70,70,87.27133205,70,70,70,70,72.29361867,70,70,70,70,70,70,90.09638324,70,70,70,70,76.23647066,76.43173241,95.69434014,91.37523518,77.87753746,70,70,70,70,85.19855658,70,70,74.33615599,70,71.29760259,94.42422395,70,70,70,83.09284651
105.55202,95.23457795,104.2399205,85.89778257,107.7954147,111.0951185,106.5506881,120,104.0166312,106.2868554,120,120,111.6603364,102.3072362,108.5584932,120,120,103.4245731,120,86.26926158,103.2397735,104.5399545,90.32025816,109.4561944,89.99128242,120,83.23397967,120,100.0719674,120,85.11952845,82.65843511,120,120,107.8361976,86.82119511,120,90.0472044,91.13644743,82.79039569,96.62651357,120,105.8369046,120,120,95.89576648,115.1489528,118.6000651,120,87.97491287,100.8036076,120,120,108.0574394,88.40222884,88.47845818,115.2542567,83.94693401,120,109.6889384,120,111.2042173,116.7507069,106.1250719,84.52983312,101.1642091,92.1656538,87.81333782,120,89.04571447,107.9939716,91.65897112,119.1126431,95.39453832,117.8994264,120,118.9728265,102.6324288,120,101.6266664,92.24669042,104.1287894,108.0834449,97.43982944,111.3476165,120,92.01513089,120,90.23882113,114.0079889,91.6849806,85.17376462,92.7774083,111.5749217,113.3027327,120,96.70606899,87.39925641,120,107.0163027,103.7224068,104.3335586,87.80252196,89.6987631,120,101.3683185,118.222367,108.2260728,97.66536756,120,92.01230815,100.9421773,93.74638515,111.4298315,104.6836042,120,120,102.6848919,91.40500056,119.7584387
109.6850235,70.11188124,88.95319354,82.96175453,111.5720928,113.1232368,100.5811057,74.45191025,103.5088922,111.1703446,83.08710349,93.41499324,85.34655626,72.73612272,92.46693807,113.7674667,70.96022846,91.58486752,108.9938717,80.21381168,117.2610396,106.3079426,92.76117442,99.93345476,102.2453368,105.3854436,83.36797228,111.6154325,107.85739,74.92318694,70.21208831,116.1192766,76.1687805,91.84583138,86.74512348,81.83062226,88.50515553,113.756685,104.7534593,110.0312895,115.7458201,99.46247772,79.82680559,84.55030726,79.19407068,110.2853226,98.27294371,101.7069347,79.1732324,109.1759048,70,100.3922693,103.4952625,76.04286439,92.5914675,117.4792154,114.7116908,102.3676489,95.42515242,86.32053894,70.88264132,96.68910454,75.54696248,105.8647395,74.89232294,95.82701368,99.45632171,97.73580236,82.02159872,87.5052345,82.21580943,108.9842271,75.55090205,108.7053759,104.715515,76.36417008,92.10154777,104.6214034,108.9075239,73.26165373,114.7288392,92.0368349,99.59700592,70,85.92592805,99.88125567,89.6925755,101.8287869,80.4045377,108.8762983,112.2127311,87.70744433,100.2099723,100.7027996,73.36865379,107.781545,111.5530106,117.8765565,94.39042778,84.30101229,104.4317144,90.69959659,111.8977537,112.4992282,110.3516256,89.9228198,109.1321596,88.88702383,70,81.54302042,73.04880128,75.27122209,116.9241127,111.2514885,70,114.6706201,70,70.59972054,103.134386,118.5151996
70,70,70,84.49626147,70,72.17589865,83.05268986,70,78.59481623,70,77.05112145,70,72.35987308,70,70,70,70,70,70,73.10446999,70,77.70612529,70,85.92401467,70,70,77.22229273,70,77.51563485,70,70,84.80611898,70,70,70,75.49821367,79.32295615,70,70,70,70,70,70,70,70,70,70,70,75.21454852,70,70,75.4980524,84.61074097,84.13483818,70,70,70,70,70,70,70,70,70,70,81.29020264,78.80671891,70,83.36090679,70,80.00209805,78.67221552,70,70,70,77.68311571,70,73.71407205,76.99782717,71.40065272,80.09408784,70,70,70,70,70,70,70,79.83811742,70,70,70,74.57322367,72.44792624,70,70,78.35180358,70,70,70,70,70,70,80.11672821,81.56715229,70,70,78.47073503,80.15733237,76.62473265,70,87.37615577,81.93767635,81.75867206,70,82.44851692,70,70,70,70,70
94.08521903,110.103085,120,86.8711392,106.479693,106.0280414,120,88.0784879,95.11322124,117.0882797,120,91.77113245,93.06006672,91.35103886,120,96.62360423,101.9564046,115.5198433,120,115.3744576,120,120,113.3675568,120,100.1079614,102.3570271,120,109.3000315,120,120,120,105.7920149,117.820084,112.2408042,96.9196674,91.37439205,106.4780989,120,107.5376361,116.10575,82.35318772,120,84.36148629,112.0565514,100.95309,112.4615534,98.11204423,82.89647256,105.9339783,118.7417641,92.00693409,114.2017653,111.3978464,83.72880704,119.0627528,90.78749445,120,96.52462394,82.62053272,85.29456298,95.35913672,96.54559534,92.42915622,89.26650998,120,107.2656132,120,95.73017037,96.08365708,83.868972,92.90528843,92.41541882,110.5811536,114.7556463,120,120,85.08445414,120,95.30041222,104.88395,95.73491421,119.8087233,120,106.2662477,119.8754381,115.0007327,82.18984134,103.6016102,119.9154256,102.521341,96.75592004,120,79.29653248,94.63953905,120,120,101.7739512,109.1710109,89.61047014,120,80.95230314,113.877617,109.7261395,111.0825081,116.7253717,120,99.8062364,91.98204916,106.0345611,80.51264185,117.985191,98.11587169,101.7976776,91.43956729,118.9537241,118.5008491,97.90964751,107.8953076,84.41261984,86.0403318
86.85326084,115.2466638,89.30512886,90.99212147,119.7171744,115.9906382,77.60815403,76.01911331,102.8588162,78.92640997,95.8649635,99.60796074,83.13471176,109.7448131,91.31463366,96.50717802,103.719795,89.47581361,89.87340524,96.60096759,120,81.39545678,117.2087257,80.98492209,120,97.31090802,96.47499204,99.90682892,102.2362701,91.82120832,94.01239609,98.57016044,93.06256592,102.5551396,78.46284383,120,82.57570545,92.31636922,89.79448944,120,111.0155742,104.2764313,83.21588223,115.7200546,87.40137144,83.97081103,100.7709553,94.93494674,98.70214657,88.50209591,107.8233952,78.13390046,77.91236052,87.44627636,107.6392422,112.6374621,117.1077344,119.7180767,78.98647835,120,81.77593809,110.6109496,115.0300952,75.01023272,96.97975621,96.49166857,111.3526171,114.7019323,76.50623893,107.1723625,76.97505021,103.8894302,89.13769848,99.87661804,111.1040292,119.4544936,76.40336804,103.8021579,119.2958815,78.67396117,90.10709875,83.21475705,84.74226499,104.4872821,113.8688193,83.84097341,120,120,117.6165014,82.46297711,101.4460804,100.5531221,102.893883,87.2019527,100.6455941,116.4940847,80.81165032,116.9138668,120,109.8753591,101.5062007,97.20582566,118.9438996,108.8220653,104.7022807,78.31551419,79.62415919,78.77205234,112.0335695,120,92.32840578,99.08471448,106.1415657,89.93959201,74.92408217,105.0861658,120,82.40361082,110.5949854,120
