Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100,Value101,Value102,Value103,Value104,Value105,Value106,Value107,Value108,Value109,Value110,Value111,Value112,Value113,Value114,Value115,Value116,Value117,Value118,Value119,Value120
70.026,76.83145077,70.026,72.73639638,70.026,93.75552272,72.47915498,86.2802687,92.54150951,89.12416332,70.026,70.026,87.89499571,81.83531177,85.50262399,70.44846834,70.026,71.90811395,74.26117348,93.74987392,90.42654588,77.19968897,79.26693156,70.026,89.07818408,84.87276297,74.06998836,94.82439065,70.026,79.18100683,70.026,76.78980183,70.026,80.77929455,70.026,70.026,70.026,77.64429249,70.026,93.35637696,70.026,70.026,70.026,88.92498352,87.85670808,72.16314545,77.1868447,92.58882795,70.026,89.17718391,70.026,70.026,70.026,87.26021669,82.83710198,70.026,70.026,70.026,70.93121263,82.58432638,93.33690545,70.026,70.026,72.31796143,70.026,86.67837448,70.026,70.026,70.026,88.27803879,70.026,70.026,74.47451361,80.19601719,86.67786433,92.0243644,86.75021627,92.24633655,79.27266155,70.026,87.29194399,70.60535331,71.11266584,75.41710858,70.026,80.85521006,83.12940029,74.78846665,70.026,94.62596293,92.90281611,77.01657702,90.322878,70.026,70.026,78.35988357,70.026,70.026,81.69148413,70.026,93.25948926,70.026,77.83451643,70.026,95.08152391,82.40641704,70.026,70.026,78.02637176,70.026,80.49114249,70.50490361,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026
77.51379087,88.16890594,79.55337835,70.026,70.026,78.80185789,70.026,70.026,88.81393586,87.23736292,70.026,70.026,70.026,70.026,70.026,78.34171937,70.026,70.026,70.026,70.026,70.026,70.026,78.68775786,84.84055417,70.026,81.87714447,70.026,82.5912198,70.026,70.026,70.026,70.026,76.65230589,70.026,70.026,73.12629142,83.94395207,78.96668845,89.20256881,70.026,73.23199193,70.62392273,70.026,70.026,75.67813374,70.026,70.026,84.61907122,70.026,83.56586043,70.026,70.026,70.026,70.026,70.026,84.24666421,70.026,70.026,85.80002135,70.026,70.026,70.026,89.23774051,70.026,78.0908823,71.76766652,82.52061222,70.026,82.60241278,70.026,70.026,80.96705091,71.86850504,76.56135107,70.026,70.026,70.026,74.8787265,70.026,70.026,71.54019528,82.35217553,70.026,70.026,88.50551958,70.026,88.8303566,70.026,70.026,70.026,77.06348321,70.026,70.026,70.026,70.026,70.026,70.026,70.026,88.11686487,70.026,77.56272779,70.026,74.18319418,70.026,70.026,70.026,70.026,71.20027466,79.97685397,70.026,70.026,70.83227002,87.38367668,70.026,76.2765644,70.026,70.026,70.026,70.026,70.026
84.17386463,83.73876132,70.026,70.026,70.026,70.026,70.026,70.026,83.19271815,72.69217704,83.67216335,84.29062548,70.026,81.07056087,70.026,70.026,70.1424973,84.80063055,70.026,70.026,77.06111658,81.97826307,89.17829858,70.026,79.92056357,70.026,70.026,70.026,84.46484953,70.026,70.026,70.026,70.026,70.026,74.91400925,84.06466009,81.93588042,70.026,70.026,70.026,81.37027227,76.13003269,70.026,80.17099201,76.34746313,70.026,70.026,81.22858436,70.026,75.69362511,70.026,70.026,70.026,70.026,70.026,76.18465619,70.026,70.026,70.026,70.026,70.026,70.026,71.98859826,81.70158025,70.026,70.026,76.38032559,70.026,70.026,72.30565491,70.026,76.60957819,70.026,75.48832255,86.42960896,76.17690945,70.026,70.026,70.026,70.026,70.026,85.71690631,70.96593448,70.026,70.026,70.026,70.026,70.026,70.026,83.69441757,70.026,70.026,75.22095648,70.026,79.78211926,84.17227558,79.65961222,72.71612222,73.30276913,70.026,70.026,73.6253972,70.026,70.026,77.92553373,73.16432779,70.026,70.026,84.77375354,78.71677191,70.026,70.026,70.026,70.026,87.30639435,70.026,76.48767275,70.026,70.026,70.026
70.026,70.026,70.026,70.026,72.26777906,74.21596193,71.67964996,84.7046557,70.026,70.026,73.95719387,70.026,80.40908495,70.026,74.20808124,80.80752874,70.026,70.026,84.55351321,70.026,70.026,70.026,70.026,70.026,70.026,83.53511161,78.9183103,83.4825292,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,73.52291642,70.026,70.026,74.2892957,70.026,70.026,70.026,70.026,70.026,70.026,77.04079798,70.026,82.97205513,70.026,70.026,70.026,70.026,75.08386496,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,85.58509402,70.026,70.026,73.00783031,70.026,70.026,71.86503809,77.27989821,71.83034538,70.026,70.026,81.20004969,70.026,80.30463061,70.026,70.026,70.026,70.026,70.026,70.026,78.42371665,70.026,76.97003182,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,81.65446761,70.026,70.026,70.026,85.5494253,70.026,75.49896861,70.026,70.026,79.95800441,70.026,70.026,70.026,70.026,70.026,70.026,75.63341688,70.026,70.026,70.026,76.21386288,70.026,70.026,70.026
70.026,70.026,81.70483002,89.43382073,80.13963638,70.026,70.026,70.026,70.026,88.91015424,70.026,78.61905187,82.41219788,70.026,77.57081338,89.93663322,70.026,70.026,70.026,81.02791756,87.69973622,90.94028414,70.026,78.21169326,76.74764367,70.026,76.36340368,70.026,70.026,70.026,82.05735437,81.32707653,70.026,70.026,70.026,89.38639701,86.83263695,70.026,74.62944084,70.026,70.81603564,72.71608829,70.026,70.026,70.026,70.026,70.026,85.8365556,70.026,76.06214966,72.63226307,70.026,85.20830508,70.026,89.52255478,70.026,85.78193024,81.39287572,90.04291006,70.026,70.026,90.03493443,77.75934834,70.026,85.57183961,70.026,70.026,72.14890436,76.92794735,70.026,70.026,70.026,70.026,90.41205656,89.33422004,70.026,70.026,70.026,70.026,70.026,70.026,74.27344257,78.95735421,70.026,70.026,70.026,81.65487743,70.026,85.2036037,70.026,89.48566644,70.026,84.61679168,80.09804538,77.10197415,74.52105498,70.026,70.026,70.026,70.026,70.026,83.67399111,70.026,70.026,70.026,70.026,70.026,79.87750841,70.026,76.64195985,84.97781954,70.026,75.45509101,72.08430989,79.72259253,76.63412503,77.91063962,70.026,71.4686207,78.68582948
70.026,70.026,70.026,70.026,79.69123208,76.81602451,94.70441321,76.04968223,70.026,70.026,70.026,70.026,70.69198297,78.83679787,70.026,79.50527342,73.8940093,70.026,70.026,91.92753523,70.026,92.90475031,86.14501543,70.026,73.03302348,70.026,72.67811408,96.62339622,70.026,75.67151196,70.026,91.61576111,70.026,70.026,70.026,82.93112324,70.026,70.026,90.33104211,94.18857459,70.026,92.07202959,70.026,70.026,70.026,70.026,70.026,95.70373692,77.32829627,75.61675723,78.55544024,87.96263074,86.2687352,70.026,70.026,89.83970444,74.40000296,85.21338403,70.026,71.49373028,80.62596323,86.79452405,70.026,70.026,70.026,70.026,78.75150179,87.15728911,70.026,96.71038294,92.28842851,78.50984695,82.51934867,70.026,70.026,70.026,78.35982567,70.026,72.67826552,70.026,81.14628771,77.83595934,70.026,70.026,70.026,75.5721542,79.58279804,85.35077003,70.026,79.42634072,70.026,70.026,79.75743732,83.17355045,70.026,70.026,80.60031763,70.026,82.94305234,70.026,70.026,70.026,92.26990791,82.04360664,70.026,70.026,70.026,92.24185278,70.026,84.28251991,89.68757819,91.33200399,77.72304737,70.026,70.026,70.026,70.026,90.73726682,78.87702054,70.026
70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,84.40762302,77.38844847,85.87023911,70.026,77.23998284,70.026,70.026,70.026,80.87834682,70.026,70.026,70.026,70.026,87.16300182,70.026,70.026,85.11445078,70.026,70.026,70.026,77.68983022,81.51145461,75.12681492,70.026,70.026,81.80147165,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,70.026,79.66796453,70.026,70.026,87.13132684,70.026,78.0947457,70.026,70.026,77.10206032,70.026,70.026,70.026,70.026,70.026,70.026,83.74139326,70.026,70.026,83.55199378,70.026,76.17483137,70.026,70.026,70.026,70.026,70.026,82.63274961,70.026,70.026,73.30742777,70.026,70.026,70.026,70.026,70.026,70.026,70.026,85.84593081,70.026,70.026,73.65304338,86.15468667,84.42502888,70.026,86.11034387,72.56994072,70.026,70.026,70.026,70.026,70.026,79.58239077,70.026,75.52043948,76.85171208,70.026,75.40016445,70.026,71.00833533,70.026,70.026,70.026
85.07747164,94.70096575,70.026,70.026,81.55305789,70.026,70.026,70.026,85.4936886,70.026,83.07056266,70.026,83.79975227,87.49289028,70.026,83.19677986,72.57284653,90.73563552,73.57369252,70.40966325,90.31035625,96.50205574,91.64679596,70.026,73.86605885,87.82556979,87.0991463,70.026,70.026,70.026,80.56627483,94.89670688,90.53724832,70.026,97.52768964,90.46102012,87.36373505,70.026,70.72847787,74.1487195,86.70091515,89.07323582,70.026,94.57552832,89.18698331,82.60836901,82.57962326,70.026,74.705165,70.026,80.16238817,70.026,79.4351743,86.82691332,70.026,73.70115708,70.026,86.40368031,77.54444234,73.21282501,70.026,70.026,92.02683956,70.026,70.026,82.89635105,82.21843183,81.68099722,82.37924701,91.16103291,70.026,70.026,70.026,70.026,70.026,70.026,80.88236834,84.72558469,88.07881769,70.026,79.68735939,70.026,75.09576628,70.026,83.77222944,73.90128135,70.026,84.72334042,70.026,70.026,88.89129772,72.86957836,93.0915426,78.57619354,70.026,74.6564863,70.026,84.51176792,75.56909383,70.026,92.74298428,70.026,70.026,93.35858055,76.84330853,70.026,93.59843386,96.80458517,70.026,70.026,70.026,81.05485309,70.026,70.026,77.30232093,70.026,70.026,92.32676048,96.84600818,78.71756136
70.026,70.026,93.36780569,70.026,95.66763902,82.98811432,94.81017499,76.55438403,99.44293292,99.77461804,84.04575955,97.4290078,70.026,70.026,81.935167,82.01252198,94.61180424,70.026,70.026,82.48575984,70.026,83.42145991,99.26095304,76.06325794,70.026,75.70436957,70.026,71.91226489,84.1945077,99.31541472,79.29240266,70.026,99.60397068,70.026,84.16943942,74.75508485,94.07005238,70.026,76.98883257,70.026,70.026,92.37293719,77.47819659,70.14769302,78.90031022,77.98668944,85.14039131,70.026,89.22594836,70.026,77.90454727,70.026,84.22997709,70.026,79.69938089,73.7293632,78.35743997,96.1420454,96.87714445,81.22110693,70.026,70.026,70.026,85.32728251,85.1787235,70.026,70.026,79.16939285,82.87608475,70.026,88.95195722,70.026,70.026,89.40907202,93.44353777,71.63942822,70.026,70.026,81.14854181,73.77534237,70.026,92.54478629,81.90282136,99.14003097,81.60003509,70.026,84.46704717,70.026,70.026,79.89079267,70.026,75.58124912,70.026,77.96624575,79.39791115,76.2406616,82.57399309,86.47617615,90.6097675,70.026,79.69954951,95.37564262,70.026,70.026,70.026,78.00162709,70.026,98.51183729,97.74983257,70.026,94.49597675,70.026,70.026,73.0065331,96.2762506,89.33075453,93.15024003,70.026,80.72109691,70.026
70.026,70.026,70.026,70.026,81.11583845,70.026,70.026,70.026,70.026,71.16481191,70.026,79.86653537,70.026,70.026,70.026,79.00956634,70.026,70.026,74.68942079,70.16491881,72.36936124,70.026,70.026,70.026,70.026,78.9690841,74.49882954,70.026,80.62279379,70.05200021,70.026,70.026,81.83218083,70.026,70.026,83.83762093,70.026,81.4737672,70.026,70.026,70.026,70.026,79.96332494,80.317166,70.026,71.13722857,71.80224908,76.23653679,70.026,70.026,75.41699538,70.026,84.89966865,70.026,70.026,70.026,70.026,73.67329606,70.026,70.026,70.026,70.026,76.36297659,70.026,70.026,70.026,70.026,70.026,70.026,82.68378211,70.026,72.33730011,70.026,75.30764338,71.69807806,70.026,70.026,76.0723255,70.026,70.026,70.026,70.026,70.026,70.026,70.38935997,70.026,79.39520181,70.026,81.74243357,70.026,80.14232958,75.27434352,70.026,70.026,70.026,76.60364804,70.026,70.026,70.026,70.026,70.026,70.026,70.026,77.49903203,70.026,70.026,70.026,70.026,70.026,70.026,74.13865808,70.026,70.026,70.026,70.026,70.026,83.23362861,70.026,70.026,70.026
