Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100,Value101,Value102,Value103,Value104,Value105,Value106,Value107,Value108,Value109,Value110,Value111,Value112,Value113,Value114,Value115,Value116,Value117,Value118,Value119,Value120
70,70,70,70,70,70,70,70,70,70,70,70,70,81.4816928,70,81.64113589,70,82.05579713,70,72.63855698,70.92994061,75.06823048,70,70,70,70,70,70,70,70,70,70,70,70,70,70,84.68485571,70,72.7404922,82.35304316,70,70,70,70,84.01268563,70,81.91101146,70,70,70,70,70,70,70,70,70,83.80558296,70,70,70,70,70,70,70,81.27038868,70,70,70,70,70,70,70,70,78.30877616,70,75.46196968,70,70,72.12160375,70,70,70,70,70,70,70,70,70,70,83.54090277,70,70,70,70,70,70,70,74.2550777,71.06463882,70,70,70,70,70,70,77.28636474,76.94615947,78.10534594,70,70,82.67466348,70,70,70,72.29983297,70,70,70,70,84.34242666
94.65214463,90.03618892,98.18487466,70,92.5737896,70,86.17029862,70,77.28264629,70,75.31792783,97.38052396,70,97.17364791,72.69918944,70,79.57295698,70,70,70,76.54458629,97.24532669,84.06605014,70,70,75.52058723,70,70,70,74.90317513,70,73.73004378,78.85151371,70,71.19162814,91.86586631,70,81.16290019,70,83.88810925,70,83.9772321,77.69273503,92.30044628,70,70,70,70,70,92.28977598,75.61750582,83.45458668,70,96.53246619,89.36838219,70,70,83.82888292,70,70,85.58326645,70,70,75.64248071,77.68907142,70,78.46983665,76.88336693,91.39615008,77.13909816,70,90.67726282,70,70,70,91.13008358,89.98243981,70.13009196,98.20605982,72.45121727,70,85.19596946,70,70,97.99806152,95.44987365,84.49655223,96.87205743,98.19150527,82.93336998,70,70,71.04768943,70,84.13656766,70,82.87724415,70,97.62322249,96.51861658,76.22024745,73.55875295,70,94.46320114,70,70,70,70,93.98182906,91.7982303,79.49219274,70,70,90.80135249,70,78.38365724,70,70,70,75.36821929
77.6797914,70,76.7611639,84.4872964,70,88.91257412,78.98842914,70,89.50575888,81.45759252,81.92087967,70,70,88.23184103,85.98336484,95.13432947,70,70,70,70,70,87.38717919,72.52427149,86.86841083,87.94676884,91.61553256,82.48241746,70.46975275,70,82.42086437,97.80888908,101.7182463,100.8351092,70,70,70,70,75.26384623,79.89203766,92.72028733,88.48341736,88.69481084,70,92.33170019,70,70,101.0513109,73.9300253,70,70,76.05577328,86.61606616,70,82.37160664,70,80.67820046,100.2646256,70,70,70,70,70,70.70340385,71.28466503,70,74.15633012,94.24373778,82.80032134,70,70,73.8967341,100.1297524,70,76.21820056,91.07237708,70,70,70,100.3765417,75.7126341,70,70,70,70.26807058,77.36562522,75.49175656,77.52058206,70,77.6902317,70,70,91.28589786,72.52009997,70,70,71.77849845,96.83987436,79.46853583,100.2718665,83.88266456,70,90.26258339,70,70,80.70855354,70,77.63766663,78.95440898,73.91222278,95.12987371,78.61769607,98.00755577,70,70,84.48434662,70,70,70,95.42732321,93.51629421
109.5729509,116.8970991,117.8943371,100.2368328,121.7876,98.79276262,102.6991243,121.5790157,101.6928829,121.7876,121.7876,121.7876,104.0258687,120.2103749,121.7876,121.7876,95.95937084,121.7876,121.7876,121.7876,115.573762,121.7876,121.7876,121.7876,121.7876,101.0423359,120.4244199,98.69055416,107.0188829,121.7876,121.7876,121.7876,112.3630727,121.7876,121.7876,121.7876,121.7876,99.25635519,121.7876,121.7876,94.46938835,121.7876,111.6963332,121.7876,107.2039262,121.7876,121.7876,119.3447392,112.7236734,121.7876,104.1713499,114.4596568,101.8841819,103.271858,107.9634844,119.2224925,119.2991272,121.7876,121.7876,121.7876,118.8524467,112.0094115,121.7876,121.7876,121.7876,121.7876,118.855788,113.8204607,121.7876,93.65789525,121.7876,116.8647005,115.7853882,121.7876,108.9265169,121.7876,121.7876,121.7876,121.7876,121.7876,121.7876,121.7876,114.8444982,111.8025567,121.7876,121.7876,117.9682521,121.7876,121.7876,121.7876,109.2868665,95.60151451,121.7876,121.7876,101.9070765,109.7702654,121.7876,95.43831391,121.7876,103.5522632,121.7876,121.7876,113.681777,121.7876,121.7876,98.82530482,121.7876,119.8827887,95.1884343,121.7876,121.7876,99.15112546,121.7876,121.7876,117.7635216,108.5862017,121.7876,121.7876,115.0296399,121.7876
70,70,80.92101345,70,70,70,70,73.02400688,70,84.9997446,70,70,80.58858851,70,70,70,77.73094449,70,70,70,70.36259605,85.63554408,70,70,78.71668019,70,73.22365738,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,84.03088725,70,70.12249628,70.60695976,72.55748942,70,83.97284226,70,70,70,70,70,70,77.99353281,70,70,70,84.48284637,85.1489894,70,82.71708343,70,70,70,85.42170495,70,70,85.51076272,70,73.37645689,78.58337802,70,70,80.09162215,70,70,70,70,76.54514575,70,70,72.73957298,70,78.14854976,70,70,70.54522454,70,70,70,70,70,70,70,70,70,70,70,76.34216495,70,70,74.7933775,79.57468815,70,70,70,70,70,70,70,70,70,70,70,70,70,70,76.6416045
70,86.81748804,83.65367171,70,70,70,70,77.87290079,70,86.36193986,70,88.91286324,84.25505521,70,81.92533054,72.92710804,70,83.37438379,89.77262784,70,70,77.14623942,70,70,70,70,92.59681156,73.2998405,70,70,94.55570372,85.23805859,72.73708789,70,95.4961311,70,70,70,70,70,74.26048359,84.46917265,70,93.95515876,77.48821029,86.37739359,70,71.22832344,81.76900807,70,79.62661267,95.00954329,89.56175786,78.49599035,94.20474308,70,70,96.84547814,89.95734992,70,70,70,77.82541467,70,90.83294214,70.78006091,70,81.21207945,94.55267366,70,92.56745291,70,70,82.38546505,70,70,70,70,89.92999628,86.12812115,88.85473666,70,70,85.69331102,83.63082197,83.76250231,70,85.38001553,70,70,89.44572455,70,92.11353299,70,70,70,91.14129224,81.24539317,70,70,70,70,70,70,93.51975434,93.5751113,70,70,70,70,70,75.24325706,70,70,84.41997051,70,85.05098854,70,96.64444649,71.69409437
70,86.62946879,70,70,70,81.95129725,70,70,70,70,90.94892455,76.33921978,70,70,70,70,70,77.33626882,71.25474629,70,75.5874247,70,70,70,70,85.59188861,90.13613725,70,70,70,70,70,90.81158752,91.51284724,70,91.29358205,70,70,71.54712347,83.96636372,78.87231168,70,70,70,70,70,70,70,70,80.38156552,70,70,70.79066972,77.7269331,73.45544169,70,70,89.71081919,70,73.39592121,84.72155439,70,92.09170964,70,84.35338689,88.84104383,79.1835288,70,70,70,70,70,70,70,86.18882519,70,70,70,70,86.28699316,85.49101444,81.72705156,70,72.85305983,70,86.3121568,72.61875411,70,70,70,70,90.14915849,70,70,75.67609085,87.8646851,70,88.0065539,82.50544368,70,70,70,70,70,76.91932389,78.88828522,82.22550658,70,70,88.59687128,84.37786057,84.58193452,70,91.82730391,83.24713555,72.96000363,70,81.05142052,70,89.19418243
109.8051244,114.8254261,106.3638271,99.15934659,121.7876,104.9645066,113.7003001,121.7876,118.5338533,109.8289658,119.3132187,117.9868956,121.7876,121.7876,103.4487531,121.7876,121.7876,91.68454067,121.7876,95.8433089,121.7876,118.0347006,92.15449365,121.7876,109.7199753,121.7876,92.76985425,120.7385038,104.5046265,109.4467948,117.0439647,121.7876,104.5051958,117.8183917,121.7876,121.7876,92.99491402,121.7876,121.7876,92.60805515,121.7876,119.9961941,108.2360812,121.7876,96.0162869,91.10532944,104.5580756,111.0965561,110.3048754,116.0491758,92.3122533,121.7876,121.7876,107.2773092,117.4969563,101.3353308,117.3351529,100.468606,113.2648771,121.7876,121.7876,94.86754897,121.7876,103.3384926,117.438567,115.2228817,115.1070018,121.7876,121.7876,121.7876,94.42217453,92.85751749,121.7876,121.7876,121.7876,103.5788701,121.7876,121.7135443,121.7876,121.7876,121.7876,121.7876,121.7876,113.8017856,120.5146002,109.4293011,121.7876,121.7876,121.7876,92.54278797,118.3073097,96.09684733,91.0739735,121.7876,119.6107276,121.7876,121.2155113,116.8495176,112.6359548,121.7876,94.99066935,121.7876,118.8174085,93.04642355,121.7876,101.6715001,120.5336727,104.5622113,94.26775576,100.3553394,121.7876,101.030929,96.89728285,103.5731679,121.7876,121.7876,121.7876,121.7876,121.7876,110.1785611
77.25385768,70,86.59166328,70,82.72648977,70,70.96877248,70,70,70,70,70,85.55272449,70,70,70,70,70,72.97812409,70,84.07035823,86.78281021,78.59094404,84.76098453,70,70,71.3995989,71.04587198,72.05966572,70,78.63143063,79.94524529,70,70,74.3755963,70,70,71.9183087,70,70,70,70,79.62869262,81.56765533,70,70,70,70,70,70,84.692221,82.68976878,70,70,70,70,70,70,77.01490943,70,81.36584897,80.88397833,70,70,70,70,70.02604691,84.24416905,70,70,70,75.27829946,74.8445193,70,70,73.2587188,70,72.85717174,71.15009354,76.93080115,70,70.46806353,79.52046586,70,70,70,70,80.05718484,70,70,70,70,70,87.02283137,74.13112471,74.48771744,72.17565131,70,70,80.44174919,70,70,70,70,76.76021249,70,74.95365299,70,70,70,76.17567614,70,70,70,70,70,71.06435522,70,70,79.33878499
81.0488207,85.46461563,92.99983695,95.63927004,70,85.39713145,70,73.60998278,88.91938346,93.04263762,78.34323446,84.21066432,70,70,82.69487846,92.93688144,97.67017519,91.38101674,70.59375368,89.46191503,73.99155976,85.92798496,95.39761246,70,70,71.15092079,70,70,70,70,71.73355218,70.8671909,70,76.69302329,92.2353935,70,71.05155903,97.99200353,86.75630827,76.53990214,87.01681358,87.3307776,78.87919637,72.1815266,70,85.18582911,84.95332459,80.0304286,70,70,70,70,84.66559893,70,70,81.90942719,89.91112689,78.98788055,70,70,70,70,70,70,74.77777268,87.22675549,70,70,70,70,70,81.31826161,78.28151413,70,77.05664161,70,70,97.42018013,84.91541033,77.55576792,70,98.89393923,70,96.36001106,78.10694962,70,96.69735076,90.68492364,73.84020947,92.62101507,77.86730666,71.69306752,70,77.73180757,92.29711299,70.64959534,94.95756165,70,70,70,90.38180764,87.6611627,70,70,70,75.31978449,92.40520029,70,87.39258545,92.62164026,74.75329345,77.31435208,91.36292296,70,70,83.84370757,90.8508434,83.98518531,88.96920672,70
