Game.ID,Player.ID,Card.1,Card.2,Card.3,House.Card.1,House.Card.2,House.Card.3,Winner,Emotion,Number.of.Bets,Brainwave.Voltage..ÂµV.,Alpha.Voltage..ÂµV.,Beta.Voltage..ÂµV.,Delta.Voltage..ÂµV.,Gamma.Voltage..ÂµV.,Theta.Voltage..ÂµV.,Hand.Category,Alpha_Voltage,Beta_Voltage,Theta_Voltage,Delta_Voltage,Gamma_Voltage,Inferred_Emotion
1,1,8 of Hearts,5 of Hearts,K of Spades,4 of Clubs,K of Hearts,2 of Spades,House,Ambition,7,27.90150499,92.51741522,91.16699985,96.48830492,99.28725928,91.9572772,Bad,71.42869665,98.11475126,70.96282767,70.66545404,77.04511849,Ambition
1,2,3 of Diamonds,Q of Hearts,6 of Hearts,4 of Clubs,K of Hearts,2 of Spades,Player,Ambition,4,28.22652661,92.89857447,94.33206537,98.27868006,93.42334285,98.93848964,Bad,71.44901283,95.1181934,78.04202467,75.69754977,73.48634661,Ambition
1,3,9 of Clubs,J of Spades,5 of Diamonds,4 of Clubs,K of Hearts,2 of Spades,Player,Greed,8,39.69580772,101.4946209,109.4686096,106.0467237,106.9289991,104.3092057,Bad,79.59193068,108.242567,78.35635088,75.92112573,73.37115281,Greed
1,4,2 of Hearts,J of Diamonds,5 of Diamonds,4 of Clubs,K of Hearts,2 of Spades,House,Fear,5,46.11386133,118.0379486,112.4990963,111.4402064,114.5596525,118.6832614,Bad,74.16257536,79.05211135,116.0089226,73.84580247,71.60119611,Fear
1,5,Q of Diamonds,3 of Diamonds,4 of Spades,4 of Clubs,K of Hearts,2 of Spades,Tie,Cautious,7,40.48557009,87.54926837,85.1715597,85.72137747,81.29892826,88.40681509,Bad,88.36751811,76.27009427,71.52525065,76.5269172,75.03913497,Cautious
1,6,A of Hearts,5 of Diamonds,9 of Clubs,4 of Clubs,K of Hearts,2 of Spades,House,Greed,10,36.43459569,108.0826371,106.9082335,105.1957193,109.6801334,108.9112877,Bad,73.31817858,105.4134198,76.91662209,79.10526262,76.37282159,Greed
2,1,9 of Hearts,A of Diamonds,A of Clubs,10 of Hearts,4 of Clubs,7 of Clubs,Player,Ambition,3,24.35798095,96.79987444,94.34620898,96.56220051,96.17896834,94.54817789,Neutral,73.41625405,94.70103983,74.9226418,76.87616438,71.99142073,Ambition
2,2,Q of Spades,3 of Diamonds,3 of Spades,10 of Hearts,4 of Clubs,7 of Clubs,House,Fear,7,46.12843435,113.7600657,114.6630971,116.1652027,114.8532136,113.3721704,Neutral,77.61074563,72.63649941,112.911134,74.67144882,78.29156635,Fear
2,3,J of Clubs,A of Hearts,9 of Hearts,10 of Hearts,4 of Clubs,7 of Clubs,Player,Greed,8,40.4908926,107.8486699,105.7832075,101.6090765,104.3148486,108.9642211,Bad,72.71855315,105.0490157,72.48504152,79.24285056,79.52804703,Greed
2,4,Q of Spades,6 of Diamonds,A of Diamonds,10 of Hearts,4 of Clubs,7 of Clubs,Player,Ambition,5,21.12122979,97.79712878,93.90922106,99.44364837,91.68942618,99.65111234,Bad,70.71184782,98.88390818,78.61912996,77.14777026,71.64096084,Ambition
2,5,8 of Spades,3 of Diamonds,A of Spades,10 of Hearts,4 of Clubs,7 of Clubs,House,Ambition,4,20.63317012,93.21134583,91.08184762,94.90427233,94.23073387,95.85180105,Bad,75.77949014,93.08119991,74.45653708,79.04376629,74.792492,Ambition
2,6,10 of Diamonds,10 of Spades,5 of Spades,10 of Hearts,4 of Clubs,7 of Clubs,Player,Greed,8,43.10697273,108.1709557,108.5818772,104.61107,104.8686117,102.3335996,Neutral,79.76105106,106.4458093,72.95641458,72.90802963,70.74270073,Greed
3,1,A of Clubs,4 of Diamonds,3 of Clubs,9 of Clubs,2 of Spades,3 of Clubs,Player,Greed,8,34.94261869,101.4279285,106.7709349,101.5799386,107.6044711,105.8518113,Bad,77.59765906,102.113459,72.89659359,72.94057264,70.04075541,Greed
3,2,7 of Spades,A of Hearts,A of Clubs,9 of Clubs,2 of Spades,3 of Clubs,Player,Ambition,3,23.77681974,92.7872468,95.85570649,92.64697945,94.94863487,98.19604285,Neutral,75.41779133,93.74364386,76.42706857,73.54359268,77.02668569,Ambition
3,3,10 of Hearts,A of Spades,10 of Clubs,9 of Clubs,2 of Spades,3 of Clubs,Player,Ambition,6,20.92576849,95.15727364,92.33829386,97.51445814,92.68091575,97.64694887,Neutral,71.99726343,92.70432324,75.85411636,72.27122402,72.65185619,Ambition
3,4,A of Spades,K of Hearts,5 of Clubs,9 of Clubs,2 of Spades,3 of Clubs,House,Ambition,5,19.1065403,95.3141706,95.08367583,98.66291534,97.37743172,91.29619717,Bad,75.02540871,92.92899614,75.71059397,73.80029352,76.53021593,Ambition
3,5,K of Diamonds,6 of Diamonds,A of Clubs,9 of Clubs,2 of Spades,3 of Clubs,Player,Ambition,2,19.07742885,93.66556883,98.83828595,91.16493552,95.90728102,97.55043102,Bad,74.9115079,91.09645073,74.46424322,74.69259798,76.61869393,Ambition
3,6,7 of Hearts,5 of Diamonds,J of Clubs,9 of Clubs,2 of Spades,3 of Clubs,House,Greed,8,35.67679958,106.5967048,107.8447898,107.5312266,107.2282763,108.3938587,Bad,76.92932198,104.3136327,76.93555888,78.41308977,74.48658013,Greed
4,1,9 of Hearts,5 of Hearts,4 of Hearts,9 of Hearts,8 of Clubs,9 of Spades,House,Fear,6,51.21035328,116.811216,114.6217664,115.247182,117.450523,118.8867543,Neutral,77.03486566,79.97608725,119.8278618,74.40799006,75.03678757,Fear
4,2,A of Spades,2 of Diamonds,3 of Spades,9 of Hearts,8 of Clubs,9 of Spades,House,Fear,2,45.36743717,113.4499692,114.0786912,119.3766546,116.2066061,112.6106564,Bad,76.8667428,73.49656407,111.8274476,74.67898106,72.68804913,Fear
4,3,5 of Clubs,3 of Spades,J of Hearts,9 of Hearts,8 of Clubs,9 of Spades,House,Fear,5,52.04724144,116.9732563,119.9168594,118.4110821,117.7116702,112.8724199,Bad,70.78670529,72.64309294,112.4548864,72.90403093,75.05682101,Fear
4,4,3 of Clubs,9 of Spades,7 of Hearts,9 of Hearts,8 of Clubs,9 of Spades,House,Fear,1,48.35887266,118.8852581,115.7320996,119.0036102,113.9684505,111.5584595,Bad,70.98132232,78.57588897,115.9604308,75.90546858,70.67008763,Fear
4,5,2 of Clubs,6 of Diamonds,10 of Hearts,9 of Hearts,8 of Clubs,9 of Spades,Player,Fear,10,46.90879163,115.2837837,113.4285384,117.4370636,119.613959,117.2187674,Bad,74.87575313,71.72300307,115.3201102,79.74011732,73.02925577,Fear
4,6,6 of Diamonds,10 of Diamonds,5 of Diamonds,9 of Hearts,8 of Clubs,9 of Spades,House,Fear,6,48.34353808,118.9824054,115.0772161,117.9447666,118.5873909,117.3978806,Neutral,70.98699288,71.78126348,111.2864698,71.00035287,74.39439748,Fear
5,1,2 of Spades,5 of Diamonds,4 of Clubs,J of Diamonds,3 of Spades,5 of Hearts,House,Fear,9,47.70963359,115.5699956,116.632795,117.304563,113.2777596,118.2862133,Bad,76.44397151,74.93753214,111.887196,76.6632237,79.30361625,Fear
5,2,K of Diamonds,Q of Clubs,9 of Spades,J of Diamonds,3 of Spades,5 of Hearts,House,Ambition,1,26.3050032,99.55292085,95.18715384,97.30960465,97.63323315,96.96022793,Bad,77.07523281,96.73878202,71.59448813,79.58957323,78.99706846,Ambition
5,3,8 of Hearts,5 of Clubs,K of Hearts,J of Diamonds,3 of Spades,5 of Hearts,Player,Greed,10,36.74954252,105.924036,108.9348316,105.0403404,101.5499266,108.6010074,Bad,73.97829773,102.5024534,74.7473947,74.16671032,71.42424561,Greed
5,4,K of Diamonds,2 of Spades,3 of Hearts,J of Diamonds,3 of Spades,5 of Hearts,Player,Fear,3,46.07315365,117.0658315,118.6433276,112.246927,111.2767765,119.4093709,Bad,79.64395404,77.55864076,112.4123401,77.91710277,74.80766052,Fear
5,5,2 of Hearts,3 of Spades,Q of Hearts,J of Diamonds,3 of Spades,5 of Hearts,House,Fear,7,51.48359276,112.3295548,118.286871,118.4088895,117.3783468,112.1813599,Bad,79.04957236,71.53550404,113.497772,78.29061967,78.51101971,Fear
5,6,8 of Spades,2 of Clubs,7 of Diamonds,J of Diamonds,3 of Spades,5 of Hearts,House,Fear,4,52.00721486,117.0065876,119.0017792,114.8297848,114.7216517,114.9857248,Bad,79.51736073,71.62673374,111.1289032,72.05548111,76.46477677,Fear
6,1,Q of Hearts,A of Diamonds,4 of Spades,9 of Diamonds,Q of Spades,10 of Spades,House,Fear,9,51.46823201,111.740447,119.0282301,118.8226458,119.9811839,116.2666483,Bad,77.07953686,73.38508097,114.7249533,76.47720657,72.7944517,Fear
6,2,8 of Spades,Q of Spades,A of Hearts,9 of Diamonds,Q of Spades,10 of Spades,Player,Ambition,3,22.9117206,97.76072473,92.82404716,97.00775936,96.84759564,99.11087862,Bad,75.94114762,91.45115827,76.73684964,78.17767127,75.10679936,Ambition
6,3,5 of Clubs,7 of Diamonds,7 of Clubs,9 of Diamonds,Q of Spades,10 of Spades,Player,Fear,5,50.34630476,118.4771345,119.4461982,118.8195013,118.8182451,111.5735099,Neutral,77.09088621,79.09677212,116.1506972,75.62327272,75.10489377,Fear
